TYPE,CONTENT,DESCRIPTION,Catégorie,Cabinet / Agence,URL,PRIORITY
section,Cabinets de recrutement,,,,,
task,[Darwin Recruitment](https://www.darwinrecruitment.com/submit-your-cv/),"Status:  cv + connect
Agence tech internationale (recrutement + staffing)",Agence tech internationale (recrutement + staffing),Darwin Recruitment,https://www.darwinrecruitment.com/submit-your-cv/,p4
task,[Stafide](https://jobs.stafide.nl/jobs/Careers),"Status:  connect
Staffing / freelance",Staffing / freelance,Stafide,https://jobs.stafide.nl/jobs/Careers,p4
task,[Opus Recruitment Solutions](https://www.opusrecruitmentsolutions.com/candidates),"Status:  bof
Agence tech internationale",Agence tech internationale,Opus Recruitment Solutions,https://www.opusrecruitmentsolutions.com/candidates,p4
task,[Zero to One Search](https://jobs.zerotoonesearch.com/jobs/Careers/1379000131177044/Job-Application?source=CareerSite),"Status:  bof
Boutique spécialisée startup / culture",Boutique spécialisée startup / culture,Zero to One Search,https://jobs.zerotoonesearch.com/jobs/Careers/1379000131177044/Job-Application?source=CareerSite,p4
task,[Deloitte](https://www.deloitte.com/ui/en/careers/join-deloitte/recruiting-tips/recruitment-process.html),"Status:  bof
Conseil / Executive search généraliste",Conseil / Executive search généraliste,Deloitte,https://www.deloitte.com/ui/en/careers/join-deloitte/recruiting-tips/recruitment-process.html,p4
task,[Orange Quarter](https://orange-quarter.com/jobs/),"Status:  good connect
Boutique spécialisée tech / product",Boutique spécialisée tech / product,Orange Quarter,https://orange-quarter.com/jobs/,p4
task,[TrioTech Recruitment](https://triotechrecruitment.com/new-jobs/),"Status:  cv + connect
Agence spécialisée tech & data",Agence spécialisée tech & data,TrioTech Recruitment,https://triotechrecruitment.com/new-jobs/,p4
task,[Vivid Resourcing](https://vividresourcing.com/candidates/),"Status:  bof
Staffing / freelance",Staffing / freelance,Vivid Resourcing,https://vividresourcing.com/candidates/,p4
task,[Optimus Search](https://www.optimussearch.com/find-job),"Status:  connect
Staffing / freelance",Staffing / freelance,Optimus Search,https://www.optimussearch.com/find-job,p4
task,[Michael Page](https://www.michaelpage.com/submit-your-resume),"Status:  cv + connect
Généraliste international",Généraliste international,Michael Page,https://www.michaelpage.com/submit-your-resume,p4
task,[Xcede](https://www.xcedegroup.com/),"Status:  todo
Agence tech internationale",Agence tech internationale,Xcede,https://www.xcedegroup.com/,p4
task,[Oliver Bernard](https://oliverbernard.com/future-codehers),"Status:  todo
Agence tech internationale",Agence tech internationale,Oliver Bernard,https://oliverbernard.com/future-codehers,p4
task,[Venturi Group](https://venturi-group.com/i-am-candidate),"Status:  todo
Agence tech internationale",Agence tech internationale,Venturi Group,https://venturi-group.com/i-am-candidate,p4
task,[Empiric](https://empiric.ai/careers),"Status:  todo
Agence tech internationale",Agence tech internationale,Empiric,https://empiric.ai/careers,p4
task,[Trust in Soda](https://www.trustinsoda.com/),"Status:  todo
Agence tech internationale",Agence tech internationale,Trust in Soda,https://www.trustinsoda.com/,p4
task,[Signify Technology](https://www.signifytechnology.com/jobs/),"Status:  todo
Agence tech internationale (cloud, JVM)","Agence tech internationale (cloud, JVM)",Signify Technology,https://www.signifytechnology.com/jobs/,p4
task,[ACELR8](https://www.acelr8.com/talent),"Status:  todo
Boutique spécialisée startup / culture",Boutique spécialisée startup / culture,ACELR8,https://www.acelr8.com/talent,p4
task,[Robert Half](https://www.arrowsgroup.com/candidates),"Status:  todo
Généraliste international",Généraliste international,Robert Half,https://www.arrowsgroup.com/candidates,p4
task,[Korn Ferry](https://www.kornferry.com/de/karrieren/jobs-bei-unseren-kunden),"Status:  todo
Conseil / Executive search généraliste",Conseil / Executive search généraliste,Korn Ferry,https://www.kornferry.com/de/karrieren/jobs-bei-unseren-kunden,p4
task,[Next Ventures](https://next-ventures.us/submit-cv/),"Status:  todo
Staffing / freelance",,Next Ventures,https://next-ventures.us/submit-cv/,p4
task,,,,,,
